Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C4,1uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,-120.85,-59.3,180,bottom
C5,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,-123.625,-65.975,0,bottom
C6,4.7nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,-119.075,-72.525,90,bottom
C7,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,-113.45,-59.775,-90,bottom
Cc1,9pF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,-123.95,-50.1,90,bottom
Cc2,9pF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,-127.2,-50.1,90,bottom
Cr1,1uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,-110.7625,-71.3125,180,bottom
Cr2,1uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,-114.8625,-72.1625,90,bottom
Ct1,0.1uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,-170.1,-68.825,90,bottom
Ct2,10uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,-171.65,-68.825,90,bottom
J1,USB_B_Micro,USB_Micro-B_Molex_47346-0001,-126.25,-74.8,180,bottom
J2,Comm_port,Molex_PicoBlade_53398-1271_1x12-1MP_P1.25mm_Vertical,-163.975,-51.95,0,bottom
R1,1k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,-105.85,-62.299999,-90,bottom
R3,1M,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,-120.675,-72.525,90,bottom
R4,330,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,-121.75,-63.5,-90,bottom
R7,0,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,-171,-66.375,0,bottom
U1,SAMD21G,TQFP-48_7x7mm_P0.5mm,-128.075,-59.75,-90,bottom
U2,AP7215-33YG-13,SOT-89-3,-111.5125,-74.7625,-90,bottom
Y1,32.768kHz,Crystal_SMD_EuroQuartz_EQ161-2Pin_3.2x1.5mm_HandSoldering,-125.575,-53,0,bottom
C2a1,10uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,130.55,-56.7,90,top
C2b1,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,129,-56.7,90,top
C3a1,10uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,126.125,-60,-90,top
C3b1,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,127.7,-60,-90,top
D1,PRTR5V0U2X,SOT-143,126.575,-67.9,0,top
D2,LED,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,135.175,-49.55,180,top
J4,Programmer,Molex_PicoBlade_53398-0671_1x06-1MP_P1.25mm_Vertical,106.65,-62.924999,-90,top
L1,Ferrite_Bead,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,126,-56.85,180,top
Q1,PMV16XNR,SOT-23,135.025,-52.35,0,top
R2,10k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,109.85,-59.875,90,top
R6,330,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,132.475,-50.5,90,top
